"trait","sample_size","rep","rho","p_value","n_intersect"
"area",5,73,0.856284760845384,6.50403164365597e-07,3
"area",5,74,0.903893214682981,2.30864584324435e-07,3
"area",5,75,0.835817575083426,8.41767411218523e-07,2
"area",5,76,0.870522803114572,5.16254241050784e-07,3
"area",5,77,0.90789766407119,2.01778861443208e-07,3
"area",5,78,0.903893214682981,2.30864584324435e-07,3
"area",5,79,0.848275862068966,7.25797925562355e-07,3
"area",5,80,0.876751946607342,4.58675929579444e-07,2
"area",5,81,0.827808676307008,9.16647717499124e-07,3
"area",5,82,0.854505005561735,6.67206513804072e-07,3
"area",5,83,0.881646273637375,4.14416738526548e-07,2
"area",5,84,0.874082313681869,4.83207736382634e-07,2
"area",5,85,0.916351501668521,1.45018518854939e-07,3
"area",5,86,0.875862068965517,4.66825940961107e-07,2
"area",5,87,0.867408231368187,5.45413703067849e-07,3
"area",5,88,0.850500556173526,7.04919860966398e-07,3
"area",5,89,0.824249165739711,9.50741939765109e-07,2
"area",5,90,0.858064516129032,6.33584304700355e-07,3
"area",5,91,0.889655172413793,3.44558584405579e-07,3
"area",5,92,0.92035595105673,1.20414830374609e-07,2
"area",5,93,0.840711902113459,7.96347866769126e-07,3
"area",5,94,0.885650723025584,3.79041225063234e-07,3
"area",5,95,0.905228031145718,2.21017581066374e-07,3
"area",5,96,0.714349276974416,1.62681189814003e-05,3
"area",5,97,0.864738598442714,5.70535360335613e-07,3
"area",5,98,0.770411568409344,2.24039926133823e-06,3
"area",5,99,0.850500556173526,7.04919860966398e-07,2
"area",5,100,0.860289210233593,6.12552347317097e-07,3
"area",5,101,0.821579532814238,9.76951314073549e-07,3
"area",5,102,0.832703003337041,8.70719829209427e-07,3
"area",5,103,0.927030033370411,8.27436086836283e-08,3
"area",5,104,0.942157953281424,1.27186328677839e-08,3
"area",5,105,0.882091212458287,4.10445993827485e-07,3
"area",5,106,0.861179087875417,6.04140847224578e-07,3
"area",5,107,0.883870967741936,3.94660951742547e-07,3
"area",5,108,0.84916573971079,7.17453722699716e-07,3
"area",5,109,0.901223581757508,2.5100189607345e-07,2
"area",5,110,0.788209121245829,1.49621914047984e-06,3
"area",5,111,0.880311457174638,4.26384799226438e-07,3
"area",5,112,0.90789766407119,2.01778861443208e-07,3
"area",5,113,0.878976640711902,4.38432678435875e-07,3
"area",5,114,0.887875417130145,3.59766050357832e-07,3
"area",5,115,0.901668520578421,2.47605271568174e-07,3
"area",5,116,0.839377085650723,8.08741399528045e-07,3
"area",5,117,0.800667408231368,1.23407918932103e-06,3
"area",5,118,0.914571746384872,1.56429975679847e-07,3
"area",5,119,0.850500556173526,7.04919860966398e-07,3
"area",5,120,0.818464961067853,1.00852224855262e-06,2
"area",5,121,0.908342602892102,1.98632364165294e-07,3
"area",5,122,0.709454949944383,1.95147052111522e-05,3
"area",5,123,0.838487208008899,8.16998955427958e-07,3
"area",5,124,0.87853170189099,4.42465494140302e-07,3
"area",5,125,0.911457174638487,1.77095871287186e-07,3
"area",5,126,0.887430478309233,3.63598003180766e-07,2
"area",5,127,0.821134593993326,9.81388554404707e-07,3
"area",5,128,0.925695216907675,8.9943048677773e-08,3
"area",5,129,0.889210233592881,3.48342076960011e-07,3
"area",5,130,0.840711902113459,7.96347866769126e-07,3
"area",5,131,0.898109010011123,2.75218125254363e-07,3
"area",5,132,0.938598442714127,2.73099447010653e-08,3
"area",5,133,0.843826473859844,7.67374397071195e-07,3
"area",5,134,0.836262513904338,8.37638317598033e-07,3
"area",5,135,0.913236929922136,1.6517898317487e-07,2
"area",5,136,0.82825361512792,9.12436520259352e-07,3
"area",5,137,0.75706340378198,3.3669475488153e-06,3
"area",5,138,0.895439377085651,2.96566705925496e-07,3
"area",5,139,0.78642936596218,1.54637092195703e-06,3
"area",5,140,0.860289210233593,6.12552347317097e-07,3
"area",5,141,0.845161290322581,7.54926387238932e-07,2
"area",5,142,0.875862068965517,4.66825940961107e-07,2
"area",5,143,0.909232480533927,1.9239142710059e-07,3
"area",5,144,0.816240266963293,1.03193419179606e-06,3
"area",5,145,0.839377085650723,8.08741399528045e-07,3
"area",5,146,0.844716351501669,7.5907800743112e-07,3
"area",5,147,0.919466073414905,1.25753281163398e-07,3
"area",5,148,0.836262513904338,8.37638317598033e-07,3
"area",5,149,0.832258064516129,8.74867251876086e-07,3
"area",5,150,0.86384872080089,5.78927868056793e-07,3
"area",5,151,0.913681868743048,1.62244598897197e-07,3
"area",5,152,0.842046718576196,7.83941691225871e-07,3
"area",5,153,0.866073414905451,5.57962655035954e-07,3
"area",5,154,0.806006674082314,1.15459703220166e-06,3
"area",5,155,0.800222469410456,1.24138283115147e-06,3
"area",5,156,0.856284760845384,6.50403164365597e-07,3
"area",5,157,0.806896551724138,1.1426139805654e-06,3
"area",5,158,0.880311457174638,4.26384799226438e-07,2
"area",5,159,0.852280311457175,6.88177367301726e-07,3
"area",5,160,0.85761957730812,6.37790012372023e-07,2
"area",5,161,0.828698553948832,9.08234257236748e-07,2
"area",5,162,0.889655172413793,3.44558584405579e-07,2
"area",5,163,0.874972191323693,4.75003733778642e-07,3
"area",5,164,0.866073414905451,5.57962655035954e-07,3
"area",5,165,0.91412680756396,1.59328247864704e-07,3
"area",5,166,0.908787541713014,1.95503196080484e-07,3
"area",5,167,0.799332591768632,1.25635110343472e-06,3
"area",5,168,0.866518353726363,5.53776779721165e-07,3
"area",5,169,0.837152391546162,8.29382156192053e-07,3
"area",5,170,0.882091212458287,4.10445993827485e-07,3
"area",5,171,0.822914349276974,9.63763779089612e-07,3
"area",5,172,0.883426028921023,3.98592159296063e-07,3
"area",5,173,0.873637374860957,4.87319073453075e-07,3
"area",5,174,0.861624026696329,5.99936016987979e-07,3
"area",5,175,0.881646273637375,4.14416738526548e-07,3
"area",5,176,0.804226918798665,1.1795590912025e-06,3
"area",5,177,0.915461624026696,1.50687840439923e-07,3
"area",5,178,0.850945494994438,7.0073740390235e-07,3
"area",5,179,0.840711902113459,7.96347866769126e-07,2
"area",5,180,0.847830923248053,7.29966420024868e-07,3
"area",5,181,0.85761957730812,6.37790012372023e-07,3
"area",5,182,0.867408231368187,5.45413703067849e-07,3
"area",5,183,0.845161290322581,7.54926387238932e-07,2
"area",5,184,0.834037819799778,8.58297711346275e-07,3
"area",5,185,0.858509454949944,6.29378170147737e-07,3
"area",5,186,0.885650723025584,3.79041225063234e-07,3
"area",5,187,0.864293659621802,5.74730666587629e-07,3
"area",5,188,0.870522803114572,5.16254241050784e-07,3
"area",5,189,0.81579532814238,1.036719705157e-06,3
"area",5,190,0.931924360400445,5.77750868400127e-08,2
"area",5,191,0.87853170189099,4.42465494140302e-07,3
"area",5,192,0.825139043381535,9.42140569335843e-07,3
"area",5,193,0.855839822024472,6.54605774653501e-07,3
"area",5,194,0.889655172413793,3.44558584405579e-07,3
"area",5,195,0.937708565072302,3.11361300627433e-08,3
"area",5,196,0.869632925472748,5.24565579752682e-07,3
"area",5,197,0.810456062291435,1.09754984540285e-06,3
"area",5,198,0.921245828698554,1.15150441540436e-07,3
"area",5,199,0.856284760845384,6.50403164365597e-07,3
"area",5,200,0.846051167964405,7.46616067221363e-07,3
"area",5,201,0.82825361512792,9.12436520259352e-07,2
"area",5,202,0.870967741935484,5.12105337122821e-07,3
"area",5,203,0.897664071190211,2.78739080192826e-07,3
"area",5,204,0.820689655172414,9.85848226514939e-07,3
"area",5,205,0.89944382647386,2.64746584470662e-07,3
"area",5,206,0.82202447163515,9.72535449697573e-07,2
"area",5,207,0.923470522803115,1.02314284005304e-07,3
"area",5,208,0.876751946607342,4.58675929579444e-07,3
"area",5,209,0.890989988876529,3.33283807739511e-07,3
"area",5,210,0.927474972191324,8.03809936521255e-08,3
"area",5,211,0.913236929922136,1.6517898317487e-07,3
"area",5,212,0.917686318131257,1.36651698435725e-07,2
"area",5,213,0.87007786429366,5.20407720908435e-07,3
"area",5,214,0.809121245828698,1.11395091389947e-06,3
"area",5,215,0.923025583982202,1.04844347473206e-07,2
"area",5,216,0.862513904338153,5.91529037424405e-07,3
"area",5,217,0.818464961067853,1.00852224855262e-06,3
"area",5,218,0.945717463848721,0,3
"area",5,219,0.917241379310345,1.39422305657094e-07,3
"area",5,220,0.87853170189099,4.42465494140302e-07,3
"area",5,221,0.785539488320356,1.57299075954601e-06,3
"area",5,222,0.920800889877642,1.17773369325433e-07,2
"area",5,223,0.805561735261402,1.16070919582313e-06,3
"area",5,224,0.837152391546162,8.29382156192053e-07,3
"area",5,225,0.878976640711902,4.38432678435875e-07,3
"area",5,226,0.894549499443827,3.03799383217871e-07,3
"area",5,227,0.890100111234705,3.40787605173413e-07,3
"area",5,228,0.898998887652948,2.68221760229584e-07,3
"area",5,229,0.83448275862069,8.54162383680907e-07,2
"area",5,230,0.908342602892102,1.98632364165294e-07,3
"area",5,231,0.870522803114572,5.16254241050784e-07,3
"area",5,232,0.873192436040044,4.91436370901216e-07,3
"area",5,233,0.894549499443827,3.03799383217871e-07,3
"area",5,234,0.92035595105673,1.20414830374609e-07,3
"area",5,235,0.876751946607342,4.58675929579444e-07,3
"area",5,236,0.881201334816463,4.18396911202388e-07,3
"area",5,237,0.84293659621802,7.75662074102097e-07,3
"area",5,238,0.909677419354839,1.89297125069199e-07,3
"area",5,239,0.874972191323693,4.75003733778642e-07,3
"area",5,240,0.845606229143493,7.50772419204475e-07,2
"area",5,241,0.88476084538376,3.86829715695231e-07,3
"area",5,242,0.899888765294772,2.61286899287163e-07,3
"area",5,243,0.834037819799778,8.58297711346275e-07,3
"area",5,244,0.788209121245829,1.49621914047984e-06,3
"area",5,245,0.858509454949944,6.29378170147737e-07,3
"area",5,246,0.881201334816463,4.18396911202388e-07,2
"area",5,247,0.921245828698554,1.15150441540436e-07,3
"area",5,248,0.960845383759733,0,3
"area",5,249,0.841601779755284,7.88078729059656e-07,3
"area",5,250,0.890100111234705,3.40787605173413e-07,3
"area",5,251,0.845161290322581,7.54926387238932e-07,3
"area",5,252,0.925695216907675,8.9943048677773e-08,2
"area",5,253,0.902113459399333,2.4422467630808e-07,2
"area",5,254,0.886095661846496,3.75163443684134e-07,3
"area",5,255,0.922135706340378,1.09960246169577e-07,3
"area",5,256,0.860289210233593,6.12552347317097e-07,3
"area",5,257,0.765072302558398,2.61161052663463e-06,3
"area",5,258,0.87230255839822,4.9968805544745e-07,3
"area",5,259,0.941713014460512,1.44806066982897e-08,3
"area",5,260,0.834037819799778,8.58297711346275e-07,3
"area",5,261,0.90567296996663,2.17768693310597e-07,3
"area",5,262,0.876751946607342,4.58675929579444e-07,2
"area",5,263,0.882536151279199,4.06484860909926e-07,2
"area",5,264,0.855394883203559,6.58807283576514e-07,2
"area",5,265,0.86384872080089,5.78927868056793e-07,3
"area",5,266,0.929254727474972,7.11163047008642e-08,3
"area",5,267,0.908342602892102,1.98632364165294e-07,3
"area",5,268,0.85139043381535,6.96552790221119e-07,3
"area",5,269,0.844271412680756,7.63227325506408e-07,3
"area",5,270,0.890100111234705,3.40787605173413e-07,2
"area",5,271,0.823359288097886,9.59406013092002e-07,3
"area",5,272,0.832703003337041,8.70719829209427e-07,2
"area",5,273,0.869632925472748,5.24565579752682e-07,2
"area",5,274,0.898553948832036,2.71712312531436e-07,2
"area",5,275,0.877641824249166,4.50555262964487e-07,3
"area",5,276,0.911012235817575,1.80119668217741e-07,3
"area",5,277,0.879421579532814,4.34408163940581e-07,3
"area",5,278,0.876307007786429,4.62747364663829e-07,3
"area",5,279,0.829143492769744,9.0404030199085e-07,3
"area",5,280,0.878086763070078,4.46506419719358e-07,3
"area",5,281,0.874527252502781,4.791025573538e-07,2
"area",5,282,0.858954393770856,6.2517175531682e-07,3
"area",5,283,0.874527252502781,4.791025573538e-07,3
"area",5,284,0.853615127919911,6.75599935827212e-07,3
"area",5,285,0.785094549499444,1.58670785282014e-06,2
"area",5,286,0.884315906562848,3.90740078176196e-07,3
"area",5,287,0.892769744160178,3.18433100832347e-07,3
"area",5,288,0.894994438264739,3.00175916043465e-07,3
"area",5,289,0.913681868743048,1.62244598897197e-07,3
"area",5,290,0.852725250278087,6.83986710953482e-07,3
"area",5,291,0.768631813125695,2.35418972319605e-06,3
"area",5,292,0.900778642936596,2.54414446300318e-07,3
"area",5,293,0.862513904338153,5.91529037424405e-07,3
"area",5,294,0.861179087875417,6.04140847224578e-07,3
"area",5,295,0.939488320355951,2.35554607729299e-08,3
"area",5,296,0.848275862068966,7.25797925562355e-07,2
"area",5,297,0.903893214682981,2.30864584324435e-07,3
"area",5,298,0.894994438264739,3.00175916043465e-07,2
"area",5,299,0.915461624026696,1.50687840439923e-07,3
"area",5,300,0.873192436040044,4.91436370901216e-07,3
"area",5,301,0.939933259176863,2.17049983048954e-08,3
"area",5,302,0.905228031145718,2.21017581066374e-07,3
"area",5,303,0.901668520578421,2.47605271568174e-07,3
"area",5,304,0.911012235817575,1.80119668217741e-07,3
"area",5,305,0.917686318131257,1.36651698435725e-07,3
"area",5,306,0.925250278086763,9.23800760174675e-08,3
"area",5,307,0.845606229143493,7.50772419204475e-07,3
"area",5,308,0.854505005561735,6.67206513804072e-07,2
"area",5,309,0.945272525027809,8.73241696367794e-10,3
"area",5,310,0.906562847608454,2.11321598169642e-07,3
"area",5,311,0.88698553948832,3.67441664082736e-07,3
"area",5,312,0.83670745272525,8.33509993745054e-07,3
"area",5,313,0.855839822024472,6.54605774653501e-07,3
"area",5,314,0.897219132369299,2.8227505706396e-07,3
"area",5,315,0.75083426028921,4.16919529336231e-06,2
"area",5,316,0.837597330367075,8.25254536861829e-07,3
"area",5,317,0.840266963292547,8.00480243742963e-07,3
"area",5,318,0.866518353726363,5.53776779721165e-07,3
"area",5,319,0.885650723025584,3.79041225063234e-07,3
"area",5,320,0.806896551724138,1.1426139805654e-06,3
"area",5,321,0.850945494994438,7.0073740390235e-07,2
"area",5,322,0.854060066740823,6.71404005214756e-07,3
"area",5,323,0.861624026696329,5.99936016987979e-07,3
"area",5,324,0.864738598442714,5.70535360335613e-07,3
"area",5,325,0.923470522803115,1.02314284005304e-07,3
"area",5,326,0.869187986651835,5.2872762110129e-07,3
"area",5,327,0.738820912124583,6.46121094132443e-06,3
"area",5,328,0.833147942157953,8.66576041692116e-07,3
"area",5,329,0.887430478309233,3.63598003180766e-07,3
"area",5,330,0.779310344827586,1.79294242786094e-06,3
"area",5,331,0.917241379310345,1.39422305657094e-07,3
"area",5,332,0.860734149054505,6.08346345871538e-07,3
"area",5,333,0.877641824249166,4.50555262964487e-07,3
"area",5,334,0.888765294771969,3.5213792530633e-07,3
"area",5,335,0.90789766407119,2.01778861443208e-07,3
"area",5,336,0.882091212458287,4.10445993827485e-07,3
"area",5,337,0.779755283648498,1.77505434621018e-06,3
"area",5,338,0.808231368186874,1.12520590620683e-06,2
"area",5,339,0.901223581757508,2.5100189607345e-07,3
"area",5,340,0.890989988876529,3.33283807739511e-07,3
"area",5,341,0.859844271412681,6.16758688759435e-07,2
"area",5,342,0.885205784204672,3.82930039941163e-07,2
"area",5,343,0.898998887652948,2.68221760229584e-07,2
"area",5,344,0.874972191323693,4.75003733778642e-07,3
"area",5,345,0.814905450500556,1.0464054130906e-06,3
"area",5,346,0.92880978865406,7.34046332204493e-08,3
"area",5,347,0.803781979977753,1.1860224303714e-06,3
"area",5,348,0.855839822024472,6.54605774653501e-07,2
"area",5,349,0.827363737486096,9.20868498489868e-07,3
"area",5,350,0.830923248053393,8.87335812630142e-07,3
"area",5,351,0.879421579532814,4.34408163940581e-07,3
"area",5,352,0.857174638487208,6.41995150249852e-07,3
"area",5,353,0.812680756395996,1.07136201518117e-06,3
"area",5,354,0.923470522803115,1.02314284005304e-07,3
"area",5,355,0.788654060066741,1.48429042959054e-06,3
"area",5,356,0.737486095661847,6.7924327516819e-06,3
"area",5,357,0.895439377085651,2.96566705925496e-07,3
"area",5,358,0.897219132369299,2.8227505706396e-07,3
"area",5,359,0.855839822024472,6.54605774653501e-07,3
"area",5,360,0.881646273637375,4.14416738526548e-07,2
"area",5,361,0.846051167964405,7.46616067221363e-07,3
"area",5,362,0.900778642936596,2.54414446300318e-07,2
"area",5,363,0.839377085650723,8.08741399528045e-07,2
"area",5,364,0.888320355951057,3.55945970130252e-07,3
"area",5,365,0.917686318131257,1.36651698435725e-07,3
"area",5,366,0.82202447163515,9.72535449697573e-07,3
"area",5,367,0.83448275862069,8.54162383680907e-07,3
"area",5,368,0.844716351501669,7.5907800743112e-07,3
"area",5,369,0.880756395995551,4.22386326833533e-07,3
"area",5,370,0.870522803114572,5.16254241050784e-07,3
"area",5,371,0.818464961067853,1.00852224855262e-06,3
"area",5,372,0.882536151279199,4.06484860909926e-07,3
"area",5,373,0.858509454949944,6.29378170147737e-07,3
"area",5,374,0.84293659621802,7.75662074102097e-07,2
"area",5,375,0.833592880978865,8.62435469540786e-07,2
"area",5,376,0.894549499443827,3.03799383217871e-07,3
"area",5,377,0.841156840934371,7.92214076747306e-07,3
"area",5,378,0.89944382647386,2.64746584470662e-07,3
"area",5,379,0.852725250278087,6.83986710953482e-07,3
"area",5,380,0.860734149054505,6.08346345871538e-07,3
"area",5,381,0.84293659621802,7.75662074102097e-07,3
"area",5,382,0.900333704115684,2.57842816617233e-07,3
"area",5,383,0.890989988876529,3.33283807739511e-07,3
"area",5,384,0.810456062291435,1.09754984540285e-06,2
"area",5,385,0.871857619577308,5.03822046612448e-07,2
"area",5,386,0.769966629588432,2.26797880923553e-06,3
"area",5,387,0.888765294771969,3.5213792530633e-07,3
"area",5,388,0.779755283648498,1.77505434621018e-06,3
"area",5,389,0.861179087875417,6.04140847224578e-07,3
"area",5,390,0.781979977753059,1.69092917029417e-06,3
"area",5,391,0.814015572858732,1.05625430623064e-06,2
"area",5,392,0.910567296996663,1.83161182924557e-07,2
"area",5,393,0.850055617352614,7.09100101018893e-07,3
"area",5,394,0.916796440489433,1.42211256485717e-07,3
"area",5,395,0.871412680756396,5.07961206441452e-07,3
"area",5,396,0.80111234705228,1.22689145077152e-06,3
"area",5,397,0.848275862068966,7.25797925562355e-07,2
"area",5,398,0.802892102335929,1.19923582159524e-06,2
"area",5,399,0.86384872080089,5.78927868056793e-07,3
"area",5,400,0.892324805339266,3.22125794693422e-07,3
"area",5,401,0.839377085650723,8.08741399528045e-07,3
"area",5,402,0.837597330367075,8.25254536861829e-07,2
"area",5,403,0.899888765294772,2.61286899287163e-07,3
"area",5,404,0.806006674082314,1.15459703220166e-06,3
"area",5,405,0.903448275862069,2.34180069580249e-07,3
"area",5,406,0.887430478309233,3.63598003180766e-07,2
"area",5,407,0.883426028921023,3.98592159296063e-07,3
"area",5,408,0.894994438264739,3.00175916043465e-07,3
"area",5,409,0.856729699666296,6.46199579267617e-07,2
"area",5,410,0.745939933259177,4.96790982431702e-06,3
"area",5,411,0.9412680756396,1.62601809935249e-08,3
"area",5,412,0.855839822024472,6.54605774653501e-07,3
"area",5,413,0.880756395995551,4.22386326833533e-07,3
"area",5,414,0.882981090100111,4.02533522318552e-07,3
"area",5,415,0.793993325917686,1.35778258082877e-06,3
"area",5,416,0.866518353726363,5.53776779721165e-07,3
"area",5,417,0.826028921023359,9.33595195561268e-07,3
"area",5,418,0.909677419354839,1.89297125069199e-07,3
"area",5,419,0.888765294771969,3.5213792530633e-07,3
"area",5,420,0.867408231368187,5.45413703067849e-07,3
"area",5,421,0.833147942157953,8.66576041692116e-07,3
"area",5,422,0.826918798665184,9.25099536325821e-07,3
"area",5,423,0.926585094549499,8.51248189251881e-08,3
"area",5,424,0.864293659621802,5.74730666587629e-07,3
"area",5,425,0.861624026696329,5.99936016987979e-07,3
"area",5,426,0.73392658509455,7.76653455697676e-06,2
"area",5,427,0.931479421579533,5.99524352311953e-08,3
"area",5,428,0.862068965517241,5.95732023446609e-07,3
"area",5,429,0.820244716351502,9.90331417630399e-07,3
"area",5,430,0.855839822024472,6.54605774653501e-07,3
"area",5,431,0.906562847608454,2.11321598169642e-07,3
"area",5,432,0.872747497219132,4.95559430882954e-07,3
"area",5,433,0.800222469410456,1.24138283115147e-06,3
"area",5,434,0.898998887652948,2.68221760229584e-07,3
"area",5,435,0.921245828698554,1.15150441540436e-07,3
"area",5,436,0.893659621802002,3.1108854839107e-07,2
"area",5,437,0.921245828698554,1.15150441540436e-07,3
"area",5,438,0.86384872080089,5.78927868056793e-07,3
"area",5,439,0.888765294771969,3.5213792530633e-07,3
"area",5,440,0.873637374860957,4.87319073453075e-07,3
"area",5,441,0.894549499443827,3.03799383217871e-07,3
"area",5,442,0.835817575083426,8.41767411218523e-07,3
"area",5,443,0.890100111234705,3.40787605173413e-07,2
"area",5,444,0.868298109010011,5.37063468222982e-07,2
"area",5,445,0.875417130144605,4.70911462747543e-07,3
"area",5,446,0.832703003337041,8.70719829209427e-07,3
"area",5,447,0.933259176863181,5.13534961292701e-08,3
"area",5,448,0.848275862068966,7.25797925562355e-07,3
"area",5,449,0.872747497219132,4.95559430882954e-07,3
"area",5,450,0.888320355951057,3.55945970130252e-07,3
"area",5,451,0.911902113459399,1.74089849740363e-07,3
"area",5,452,0.846051167964405,7.46616067221363e-07,3
"area",5,453,0.851835372636263,6.92366086901813e-07,2
"area",5,454,0.894994438264739,3.00175916043465e-07,3
"area",5,455,0.927474972191324,8.03809936521255e-08,3
"area",5,456,0.82202447163515,9.72535449697573e-07,3
"area",5,457,0.894104560622914,3.07436972862549e-07,3
"area",5,458,0.910122358175751,1.86220355768183e-07,3
"area",5,459,0.915906562847608,1.4784405879875e-07,3
"area",5,460,0.873192436040044,4.91436370901216e-07,3
"area",5,461,0.808676307007786,1.11954487714191e-06,3
"area",5,462,0.900333704115684,2.57842816617233e-07,3
"area",5,463,0.795773081201335,1.32155528055683e-06,3
"area",5,464,0.827363737486096,9.20868498489868e-07,3
"area",5,465,0.871412680756396,5.07961206441452e-07,3
"area",5,466,0.923025583982202,1.04844347473206e-07,3
"area",5,467,0.843826473859844,7.67374397071195e-07,3
"area",5,468,0.898553948832036,2.71712312531436e-07,2
"area",5,469,0.85139043381535,6.96552790221119e-07,3
"area",5,470,0.909232480533927,1.9239142710059e-07,3
"area",5,471,0.871412680756396,5.07961206441452e-07,2
"area",5,472,0.900333704115684,2.57842816617233e-07,3
"area",5,473,0.879866518353726,4.30392141061499e-07,3
"area",5,474,0.850500556173526,7.04919860966398e-07,3
"area",5,475,0.900778642936596,2.54414446300318e-07,3
"area",5,476,0.878976640711902,4.38432678435875e-07,3
"area",5,477,0.845606229143493,7.50772419204475e-07,3
"area",5,478,0.866963292547275,5.49593732183581e-07,3
"area",5,479,0.908787541713014,1.95503196080484e-07,3
"area",5,480,0.849610678531702,7.13278070460278e-07,3
"area",5,481,0.894104560622914,3.07436972862549e-07,3
"area",5,482,0.916351501668521,1.45018518854939e-07,3
"area",5,483,0.856284760845384,6.50403164365597e-07,3
"area",5,484,0.829588431590656,8.99854050714236e-07,3
"area",5,485,0.799777530589544,1.24880567881036e-06,3
"area",5,486,0.887430478309233,3.63598003180766e-07,2
"area",5,487,0.872747497219132,4.95559430882954e-07,3
"area",5,488,0.841156840934371,7.92214076747306e-07,3
"area",5,489,0.818464961067853,1.00852224855262e-06,2
"area",5,490,0.843381535038932,7.71519287879156e-07,3
"area",5,491,0.867853170189099,5.41236884147505e-07,2
"area",5,492,0.710789766407119,1.85735259034269e-05,3
"area",5,493,0.851835372636263,6.92366086901813e-07,3
"area",5,494,0.841601779755284,7.88078729059656e-07,3
"area",5,495,0.885205784204672,3.82930039941163e-07,3
"area",5,496,0.831368186874305,8.83174776059266e-07,3
"area",5,497,0.902558398220245,2.40860211706929e-07,3
"area",5,498,0.886095661846496,3.75163443684134e-07,3
"area",5,499,0.888320355951057,3.55945970130252e-07,3
