"genotype","rep","image","emmean","SE","df","asymp.LCL","asymp.UCL"
"2014009-041","1","12",0.32563090020605,0.0104098335080374,Inf,0.305228001445238,0.346033798966861
"2014009-046","1","12",0.289919051846416,0.0104098335080373,Inf,0.269516153085604,0.310321950607227
"2014010-010","1","12",0.3485517671185,0.0104098335080363,Inf,0.328148868357691,0.36895466587931
"W1406-001","1","12",0.3396190746346,0.0104098335080368,Inf,0.31921617587379,0.360021973395411
"W1411-017","1","12",0.321922650675314,0.0104098335080369,Inf,0.301519751914503,0.342325549436125
"W1425-006","1","12",0.31713539658846,0.0104098335080374,Inf,0.296732497827649,0.337538295349272
"2014001-005","2","12",0.345544657920021,0.0104606283768203,Inf,0.325042203045796,0.366047112794247
"2014005-019","2","12",0.335780834756687,0.0104098335080375,Inf,0.315377935995875,0.356183733517499
"2014005-024","2","12",0.318617550897523,0.010409833508037,Inf,0.298214652136713,0.339020449658334
"2014006-046","2","12",0.340551503550996,0.0104098335080381,Inf,0.320148604790183,0.360954402311809
"2014007-001","2","12",0.338544910898682,0.0104098335080369,Inf,0.318142012137871,0.358947809659492
"2014008-016","2","12",0.320858655542404,0.010460893778182,Inf,0.300355680491068,0.341361630593739
"2014009-010","2","12",0.335892207785617,0.0104098335080373,Inf,0.315489309024805,0.356295106546428
"2014009-012","2","12",0.339526554051482,0.0104098335080383,Inf,0.319123655290668,0.359929452812295
"2014009-034","2","12",0.306481328954325,0.0104098335080374,Inf,0.286078430193513,0.326884227715136
"2014009-041","2","12",0.330122704685733,0.0104098335080377,Inf,0.309719805924921,0.350525603446545
"2014009-046","2","12",0.294410856326099,0.0104098335080375,Inf,0.274007957565287,0.314813755086911
"2014010-010","2","12",0.353043571598184,0.0104098335080366,Inf,0.332640672837374,0.373446470358994
"W1406-001","2","12",0.344110879114284,0.0104098335080373,Inf,0.323707980353472,0.364513777875095
"W1411-017","2","12",0.326414455154997,0.0104098335080372,Inf,0.306011556394186,0.346817353915809
"W1425-006","2","12",0.321627201068144,0.0104098335080377,Inf,0.301224302307332,0.342030099828956
"2014001-005","1","13",0.347047315823614,0.0104098335081776,Inf,0.326644417062528,0.3674502145847
"2014005-019","1","13",0.323326908268977,0.0104098335080373,Inf,0.302924009508165,0.343729807029788
"2014005-024","1","13",0.322652761131943,0.0104098335080368,Inf,0.302249862371133,0.343055659892753
"2014006-046","1","13",0.336873807781217,0.0104098335080375,Inf,0.316470909020405,0.357276706542029
"2014007-001","1","13",0.339837723416212,0.0104098335080365,Inf,0.319434824655402,0.360240622177022
"2014008-016","1","13",0.321257941875642,0.0104098335080375,Inf,0.30085504311483,0.341660840636454
"2014009-010","1","13",0.329385494771232,0.010409833508037,Inf,0.308982596010421,0.349788393532043
"2014009-012","1","13",0.329642691570374,0.0104098335080381,Inf,0.309239792809561,0.350045590331187
"2014009-034","1","13",0.290990510904325,0.0104098335080371,Inf,0.270587612143514,0.311393409665136
"2014009-041","1","13",0.32981186483543,0.0104098335080374,Inf,0.309408966074619,0.350214763596242
"2014009-046","1","13",0.308810943055981,0.0103642001658953,Inf,0.288497484002262,0.3291244021097
"2014010-010","1","13",0.338902175427478,0.0104098335080363,Inf,0.318499276666668,0.359305074188287
"W1406-001","1","13",0.342902379336187,0.0104606284374788,Inf,0.322399924343073,0.363404834329301
"W1411-017","1","13",0.329623058140975,0.0104098335080369,Inf,0.309220159380165,0.350025956901786
"W1425-006","1","13",0.3150670383944,0.0103220659524283,Inf,0.294836160881593,0.335297915907206
"2014001-005","2","13",0.351539120303298,0.0104098335081334,Inf,0.331136221542298,0.371942019064297
"2014005-019","2","13",0.32781871274866,0.0104098335080375,Inf,0.307415813987848,0.348221611509472
"2014005-024","2","13",0.327144565611626,0.010409833508037,Inf,0.306741666850816,0.347547464372437
"2014006-046","2","13",0.3413656122609,0.0104098335080381,Inf,0.320962713500088,0.361768511021713
"2014007-001","2","13",0.344329527895895,0.0104098335080369,Inf,0.323926629135085,0.364732426656706
"2014008-016","2","13",0.325749746355325,0.0104098335080377,Inf,0.305346847594513,0.346152645116137
"2014009-010","2","13",0.333877299250915,0.0104098335080373,Inf,0.313474400490104,0.354280198011727
"2014009-012","2","13",0.334134496050058,0.0104098335080383,Inf,0.313731597289244,0.354537394810871
"2014009-034","2","13",0.295482315384008,0.0104098335080374,Inf,0.275079416623197,0.31588521414482
"2014009-041","2","13",0.334303669315114,0.0104098335080377,Inf,0.313900770554302,0.354706568075926
"2014009-046","2","13",0.313302747535664,0.0103644392256541,Inf,0.292988819933428,0.333616675137901
"2014010-010","2","13",0.343393979907161,0.0104098335080366,Inf,0.322991081146351,0.363796878667971
"W1406-001","2","13",0.347394183815871,0.0104608944140405,Inf,0.326891207518275,0.367897160113467
"W1411-017","2","13",0.334114862620659,0.0104098335080372,Inf,0.313711963859847,0.35451776138147
"W1425-006","2","13",0.319558842874083,0.0103220659524286,Inf,0.299327965361276,0.33978972038689
"2014001-005","1","14",0.35026404691085,0.0104608945363077,Inf,0.329761070373615,0.370767023448085
"2014005-019","1","14",0.325343308651783,0.0104606274459022,Inf,0.304840855602124,0.345845761701443
"2014005-024","1","14",0.322840691297831,0.0103220659524276,Inf,0.302609813785025,0.343071568810636
"2014006-046","1","14",0.334814263146637,0.0103644382158441,Inf,0.314500337523592,0.355128188769682
"2014007-001","1","14",0.341175061560189,0.0104098335080365,Inf,0.320772162799379,0.361577960320999
"2014008-016","1","14",0.31741542556205,0.0103642004164775,Inf,0.297101966017199,0.3377288851069
"2014009-010","1","14",0.333545836603482,0.010409833508037,Inf,0.313142937842671,0.353948735364293
"2014009-012","1","14",0.330774538709447,0.0104098335080381,Inf,0.310371639948634,0.35117743747026
"2014009-034","1","14",0.294305157396483,0.0104098335080371,Inf,0.273902258635673,0.314708056157294
"2014009-041","1","14",0.324617211990749,0.0104606288987684,Inf,0.304114756093524,0.345119667887974
"2014009-046","1","14",0.291943974249626,0.0103642001658953,Inf,0.271630515195907,0.312257433303345
"2014010-010","1","14",0.345215132248687,0.0104098335080363,Inf,0.324812233487878,0.365618031009496
"W1406-001","1","14",0.347016474180137,0.0104098335080368,Inf,0.326613575419327,0.367419372940948
"W1411-017","1","14",0.328720020391549,0.0104098335080369,Inf,0.308317121630738,0.349122919152359
"W1425-006","1","14",0.308146566465565,0.0104098335080374,Inf,0.287743667704753,0.328549465226376
"2014001-005","2","14",0.354755851390533,0.0104606283768203,Inf,0.334253396516308,0.375258306264759
"2014005-019","2","14",0.329835113131467,0.0104608964072937,Inf,0.309332132927167,0.350338093335767
"2014005-024","2","14",0.327332495777514,0.0103220659524278,Inf,0.307101618264708,0.34756337329032
"2014006-046","2","14",0.33930606762632,0.0103642007108111,Inf,0.318992607504586,0.359619527748054
"2014007-001","2","14",0.345666866039872,0.0104098335080369,Inf,0.325263967279062,0.366069764800683
"2014008-016","2","14",0.321907230041733,0.0103644387612876,Inf,0.301593303349638,0.342221156733828
"2014009-010","2","14",0.338037641083165,0.0104098335080373,Inf,0.317634742322354,0.358440539843977
"2014009-012","2","14",0.33526634318913,0.0104098335080383,Inf,0.314863444428317,0.355669241949944
"2014009-034","2","14",0.298796961876167,0.0104098335080374,Inf,0.278394063115355,0.319199860636978
"2014009-041","2","14",0.329109016470433,0.0104608934867694,Inf,0.308606041990255,0.34961199095061
"2014009-046","2","14",0.296435778729309,0.0103644392256541,Inf,0.276121851127073,0.316749706331546
"2014010-010","2","14",0.34970693672837,0.0104098335080366,Inf,0.32930403796756,0.37010983548918
"W1406-001","2","14",0.351508278659821,0.0104098335080373,Inf,0.331105379899009,0.371911177420632
"W1411-017","2","14",0.333211824871232,0.0104098335080372,Inf,0.312808926110421,0.353614723632043
"W1425-006","2","14",0.312638370945248,0.0104098335080377,Inf,0.292235472184436,0.33304126970606
"2014001-005","1","15",0.348376796083054,0.0104098335081776,Inf,0.327973897321968,0.368779694844141
"2014005-019","1","15",0.325888529380718,0.0104098335080373,Inf,0.305485630619907,0.34629142814153
"2014005-024","1","15",0.313625937682248,0.0104098335080368,Inf,0.293223038921438,0.334028836443058
"2014006-046","1","15",0.340952251001608,0.0104098335080375,Inf,0.320549352240796,0.36135514976242
"2014007-001","1","15",0.338127061839691,0.0104098335080365,Inf,0.317724163078881,0.3585299606005
"2014008-016","1","15",0.321289882220483,0.0104098335080375,Inf,0.300886983459671,0.341692780981295
"2014009-010","1","15",0.334255301167839,0.010409833508037,Inf,0.313852402407028,0.35465819992865
"2014009-012","1","15",0.336314854682943,0.010364438667465,Inf,0.316000928174738,0.356628781191149
"2014009-034","1","15",0.287300028550442,0.0104098335080371,Inf,0.266897129789631,0.307702927311253
"2014009-041","1","15",0.325462177533133,0.0103236251649747,Inf,0.305228244019892,0.345696111046375
"2014009-046","1","15",0.296420757270996,0.0104098335080373,Inf,0.276017858510185,0.316823656031807
"2014010-010","1","15",0.343748831967178,0.0104098335080363,Inf,0.323345933206368,0.364151730727987
"W1406-001","1","15",0.345130983387802,0.0104098335080368,Inf,0.324728084626991,0.365533882148612
"W1411-017","1","15",0.319728550251573,0.0104098335080369,Inf,0.299325651490762,0.340131449012384
"W1425-006","1","15",0.313182638191049,0.0104098335080374,Inf,0.292779739430238,0.333585536951861
"2014001-005","2","15",0.352868600562738,0.0104098335081334,Inf,0.332465701801738,0.373271499323737
"2014005-019","2","15",0.330380333860402,0.0104098335080375,Inf,0.30997743509959,0.350783232621213
"2014005-024","2","15",0.318117742161931,0.0104098335080369,Inf,0.297714843401121,0.338520640922742
"2014006-046","2","15",0.345444055481291,0.0104098335080381,Inf,0.325041156720479,0.365846954242104
"2014007-001","2","15",0.342618866319374,0.0104098335080369,Inf,0.322215967558563,0.363021765080184
"2014008-016","2","15",0.325781686700166,0.0104098335080377,Inf,0.305378787939354,0.346184585460978
"2014009-010","2","15",0.338747105647523,0.0104098335080373,Inf,0.318344206886711,0.359150004408334
"2014009-012","2","15",0.340806659162627,0.0103642004671072,Inf,0.320493199518544,0.36112011880671
"2014009-034","2","15",0.291791833030125,0.0104098335080374,Inf,0.271388934269314,0.312194731790937
"2014009-041","2","15",0.329953982012817,0.010323172058956,Inf,0.309720936571053,0.350187027454581
"2014009-046","2","15",0.300912561750679,0.0104098335080375,Inf,0.280509662989868,0.321315460511491
"2014010-010","2","15",0.348240636446861,0.0104098335080366,Inf,0.327837737686051,0.368643535207671
"W1406-001","2","15",0.349622787867485,0.0104098335080373,Inf,0.329219889106674,0.370025686628296
"W1411-017","2","15",0.324220354731256,0.0104098335080372,Inf,0.303817455970445,0.344623253492068
"W1425-006","2","15",0.317674442670733,0.0104098335080377,Inf,0.29727154390992,0.338077341431545
"2014001-005","1","16",0.347638280212912,0.0104098335081776,Inf,0.327235381451825,0.368041178973998
"2014005-019","1","16",0.337256276596136,0.0104608964072935,Inf,0.316753296391836,0.357759256800436
"2014005-024","1","16",0.307413911336254,0.0104098335080368,Inf,0.287011012575443,0.327816810097064
"2014006-046","1","16",0.343790531064682,0.0104098335080375,Inf,0.32338763230387,0.364193429825494
"2014007-001","1","16",0.348396056370566,0.0103644388841681,Inf,0.32808212943763,0.368709983303502
"2014008-016","1","16",0.320334007957364,0.0104098335080375,Inf,0.299931109196553,0.340736906718176
"2014009-010","1","16",0.341070049150208,0.010409833508037,Inf,0.320667150389397,0.361472947911019
"2014009-012","1","16",0.329675025074728,0.0104098335080381,Inf,0.309272126313915,0.350077923835541
"2014009-034","1","16",0.293068322326585,0.0104098335080371,Inf,0.272665423565774,0.313471221087396
"2014009-041","1","16",0.321458636921045,0.0104608934867691,Inf,0.300955662440868,0.341961611401222
"2014009-046","1","16",0.301696804746081,0.0104098335080373,Inf,0.281293905985269,0.322099703506892
"2014010-010","1","16",0.350905959126107,0.0104098335080363,Inf,0.330503060365298,0.371308857886917
"W1406-001","1","16",0.33927016656515,0.0104608944140401,Inf,0.318767190267555,0.359773142862745
"W1411-017","1","16",0.327226568185133,0.0104098335080369,Inf,0.306823669424322,0.347629466945943
"W1425-006","1","16",0.318980117942688,0.0104098335080374,Inf,0.298577219181877,0.3393830167035
"2014001-005","2","16",0.352130084692595,0.0104098335081334,Inf,0.331727185931596,0.372532983453595
"2014005-019","2","16",0.341748081075819,0.0104606274459024,Inf,0.321245628026159,0.362250534125479
"2014005-024","2","16",0.311905715815937,0.010409833508037,Inf,0.291502817055126,0.332308614576748
"2014006-046","2","16",0.348282335544365,0.0104098335080381,Inf,0.327879436783553,0.368685234305178
"2014007-001","2","16",0.35288786085025,0.0103642003501673,Inf,0.332574401435364,0.373201320265135
"2014008-016","2","16",0.324825812437048,0.0104098335080377,Inf,0.304422913676236,0.34522871119786
"2014009-010","2","16",0.345561853629892,0.0104098335080373,Inf,0.32515895486908,0.365964752390703
"2014009-012","2","16",0.334166829554411,0.0104098335080383,Inf,0.313763930793598,0.354569728315225
"2014009-034","2","16",0.297560126806268,0.0104098335080374,Inf,0.277157228045457,0.31796302556708
"2014009-041","2","16",0.325950441400729,0.0104606288987687,Inf,0.305447985503503,0.346452897297954
"2014009-046","2","16",0.306188609225764,0.0104098335080375,Inf,0.285785710464952,0.326591507986576
"2014010-010","2","16",0.355397763605791,0.0104098335080366,Inf,0.334994864844981,0.375800662366601
"W1406-001","2","16",0.343761971044833,0.0104606284374793,Inf,0.323259516051719,0.364264426037948
"W1411-017","2","16",0.331718372664816,0.0104098335080372,Inf,0.311315473904005,0.352121271425627
"W1425-006","2","16",0.323471922422372,0.0104098335080377,Inf,0.303069023661559,0.343874821183184
"2014001-005","1","17",0.350219662390909,0.0104098335081776,Inf,0.329816763629822,0.370622561151995
"2014005-019","1","17",0.332538437418862,0.0104098335080373,Inf,0.31213553865805,0.352941336179673
"2014005-024","1","17",0.326238736292804,0.0104098335080368,Inf,0.305835837531994,0.346641635053615
"2014006-046","1","17",0.328352054946855,0.0104098335080375,Inf,0.307949156186043,0.348754953707667
"2014007-001","1","17",0.330915738763966,0.0104098335080365,Inf,0.310512840003156,0.351318637524776
"2014008-016","1","17",0.317674851884156,0.0104098335080375,Inf,0.297271953123344,0.338077750644968
"2014009-010","1","17",0.334804986312504,0.010409833508037,Inf,0.314402087551693,0.355207885073314
"2014009-012","1","17",0.332360933444425,0.0104098335080381,Inf,0.311958034683612,0.352763832205238
"2014009-034","1","17",0.302570878643764,0.0104098335080371,Inf,0.282167979882953,0.322973777404575
"2014009-041","1","17",0.327671675700706,0.0103642005540278,Inf,0.307358215886262,0.347985135515151
"2014009-046","1","17",0.310075930843558,0.0104608943090622,Inf,0.289572954751716,0.3305789069354
"2014010-010","1","17",0.353957747573898,0.0104098335080363,Inf,0.333554848813089,0.374360646334707
"W1406-001","1","17",0.338266557633703,0.0104098335080368,Inf,0.317863658872893,0.358669456394514
"W1411-017","1","17",0.320846926459327,0.0104098335080369,Inf,0.300444027698516,0.341249825220137
"W1425-006","1","17",0.307402434369403,0.0104098335080374,Inf,0.286999535608592,0.327805333130215
"2014001-005","2","17",0.354711466870592,0.0104098335081334,Inf,0.334308568109592,0.375114365631592
"2014005-019","2","17",0.337030241898545,0.0104098335080375,Inf,0.316627343137733,0.357433140659357
"2014005-024","2","17",0.330730540772488,0.0104098335080369,Inf,0.310327642011677,0.351133439533299
"2014006-046","2","17",0.332843859426539,0.0104098335080381,Inf,0.312440960665726,0.353246758187351
"2014007-001","2","17",0.335407543243649,0.0104098335080369,Inf,0.315004644482839,0.35581044200446
"2014008-016","2","17",0.322166656363839,0.0104098335080377,Inf,0.301763757603027,0.342569555124651
"2014009-010","2","17",0.339296790792187,0.0104098335080373,Inf,0.318893892031376,0.359699689552999
"2014009-012","2","17",0.336852737924109,0.0104098335080383,Inf,0.316449839163295,0.357255636684922
"2014009-034","2","17",0.307062683123447,0.0104098335080374,Inf,0.286659784362636,0.327465581884259
"2014009-041","2","17",0.33216348018039,0.0103644385063859,Inf,0.311849553987893,0.352477406372886
"2014009-046","2","17",0.314567735323241,0.010460628489703,Inf,0.29406528022777,0.335070190418713
"2014010-010","2","17",0.358449552053581,0.0104098335080366,Inf,0.338046653292771,0.378852450814391
"W1406-001","2","17",0.342758362113387,0.0104098335080372,Inf,0.322355463352575,0.363161260874198
"W1411-017","2","17",0.32533873093901,0.0104098335080372,Inf,0.304935832178199,0.345741629699821
"W1425-006","2","17",0.311894238849087,0.0104098335080377,Inf,0.291491340088274,0.332297137609899
"2014001-005","1","18",0.346003226201962,0.0104098335081776,Inf,0.325600327440876,0.366406124963048
"2014005-019","1","18",0.334263933230119,0.0104098335080373,Inf,0.313861034469307,0.35466683199093
"2014005-024","1","18",0.320657099321073,0.010364200121823,Inf,0.300343640353734,0.340970558288411
"2014006-046","1","18",0.337191739539547,0.0104098335080375,Inf,0.316788840778735,0.357594638300358
"2014007-001","1","18",0.341146671360172,0.0104098335080365,Inf,0.320743772599362,0.361549570120982
"2014008-016","1","18",0.318351584407635,0.0104606287537995,Inf,0.297849128794544,0.338854040020727
"2014009-010","1","18",0.336919687170265,0.010409833508037,Inf,0.316516788409454,0.357322585931076
"2014009-012","1","18",0.331333536285226,0.0104098335080381,Inf,0.310930637524413,0.351736435046039
"2014009-034","1","18",0.295531860921097,0.0104098335080371,Inf,0.275128962160286,0.315934759681908
"2014009-041","1","18",0.331561096712388,0.0104098335080374,Inf,0.311158197951577,0.3519639954732
"2014009-046","1","18",0.307142640029765,0.0104098335080373,Inf,0.286739741268954,0.327545538790576
"2014010-010","1","18",0.336592669203985,0.0104098335080363,Inf,0.316189770443176,0.356995567964794
"W1406-001","1","18",0.347059118808562,0.0104606284374788,Inf,0.326556663815448,0.367561573801676
"W1411-017","1","18",0.326383499849114,0.0104098335080369,Inf,0.305980601088304,0.346786398609925
"W1425-006","1","18",0.31278007536431,0.0104608935588572,Inf,0.292277100742843,0.333283049985777
"2014001-005","2","18",0.350495030681645,0.0104098335081334,Inf,0.330092131920646,0.370897929442645
"2014005-019","2","18",0.338755737709802,0.0104098335080375,Inf,0.31835283894899,0.359158636470614
"2014005-024","2","18",0.325148903800756,0.0103644393073254,Inf,0.304834976038447,0.345462831563065
"2014006-046","2","18",0.34168354401923,0.0104098335080381,Inf,0.321280645258417,0.362086442780043
"2014007-001","2","18",0.345638475839855,0.0104098335080369,Inf,0.325235577079045,0.366041374600666
