"genotype","rep","image","area","SE","df","asymp.LCL","asymp.UCL"
"2014005-019",2,11,3.83191385287746,0.586688049331237,Inf,2.76829146776936,5.06806636146793
"2014005-024",2,11,6.37522798114726,0.74068345253309,Inf,5.00615802959074,7.90958381141002
"2014006-046",2,11,4.28397423223163,0.607167067059456,Inf,3.17659158754941,5.55664275562011
"2014007-001",2,11,4.6161307539155,0.630265932818784,Inf,3.46347516426126,5.93407222227598
"2014008-016",2,11,5.632528469238,0.700832949977834,Inf,4.3426666936121,7.08988137588313
"2014009-010",2,11,4.17146814323059,0.599141286947073,Inf,3.07981573851648,5.42840642665096
"2014009-012",2,11,7.86200075853672,0.822529197199475,Inf,6.33251609514623,9.55677130063346
"2014009-034",2,11,6.67688351646193,0.758004322399786,Inf,5.27386528378579,8.24518762784433
"2014009-041",2,11,5.99351032346891,0.718166943555787,Inf,4.66857191856548,7.48373460707859
"2014009-046",2,11,6.80408650932034,0.765190722223565,Inf,5.38698319181109,8.38647570553585
"2014010-010",2,11,5.57823648728969,0.692840463129279,Inf,4.30293707187738,7.01882178140825
"W1406-001",2,11,4.39962635923358,0.615308167619384,Inf,3.27628745065938,5.68825114651404
"W1411-017",2,11,4.36491891455707,0.612876363546743,Inf,3.2463462543827,5.64877745343768
"W1425-006",2,11,8.08785587623644,0.834260121018735,Inf,6.53537902465481,9.80561860652431
"2014001-005",1,12,7.16436174169877,0.790435719229271,Inf,5.69888754671522,8.79733863028199
"2014005-019",1,12,3.40135739161787,0.541017004939586,Inf,2.42362648626568,4.54437417567631
"2014005-024",1,12,5.36466311496304,0.679447663727216,Inf,4.11561310403094,6.77899900460139
"2014006-046",1,12,4.27132756996032,0.606270199827894,Inf,3.16570275275087,5.54223826587601
"2014007-001",1,12,5.07463991626289,0.660826420073457,Inf,3.8620868722395,6.45247883899253
"2014008-016",1,12,4.44556621468547,0.622624715160498,Inf,3.308989762596,5.74963379779417
"2014009-010",1,12,4.56855677162399,0.627009751692334,Inf,3.42228317970473,5.88011624224949
"2014009-012",1,12,7.93347372568706,0.82625951961314,Inf,6.39667776471506,9.6355555653653
"2014009-034",1,12,6.59552810239623,0.75337216441595,Inf,5.20158873253911,8.15475335095961
"2014009-041",1,12,5.5809321857811,0.693007851461462,Inf,4.30530469526628,7.02184555500218
"2014009-046",1,12,6.23722015068472,0.732622612241255,Inf,4.88394915578533,7.75577702429035
"2014010-010",1,12,4.21763839087075,0.602447842152429,Inf,3.11950525704125,5.48105740340651
"W1406-001",1,12,3.60480187629178,0.556961893621343,Inf,2.59581956338585,4.77907006790397
"W1411-017",1,12,4.20073305849424,0.601239250264323,Inf,3.10496872123743,5.46178327445731
"W1425-006",1,12,9.10931910628235,0.885375989737612,Inf,7.45665699297325,10.9272670982977
"2014001-005",2,12,7.43835822087879,0.805380945529355,Inf,5.94358613593616,9.10062143008086
"2014005-019",2,12,3.59094829695426,0.555890635953673,Inf,2.58406561049512,4.76311686211966
"2014005-024",2,12,5.6021070809354,0.694321294741303,Inf,4.32390528889635,7.0455947516807
"2014006-046",2,12,4.48347536492671,0.62114383084198,Inf,3.34869876661031,5.78353784194935
"2014007-001",2,12,5.30564684358005,0.675700051087544,Inf,4.06394201844972,6.71263754741664
"2014008-016",2,12,4.661945881614,0.637619230971451,Inf,3.49598649556376,5.9954079526721
"2014009-010",2,12,4.7878738673914,0.64188338270642,Inf,3.6124484943652,6.12858511912385
"2014009-012",2,12,8.2216679857295,0.841133150627229,Inf,6.65572024365055,9.9529016065147
"2014009-034",2,12,6.85852647694342,0.768245795430036,Inf,5.43543532597935,8.44690350661374
"2014009-041",2,12,5.82306367178382,0.707881482475549,Inf,4.51828440016204,7.29312882211184
"2014009-046",2,12,6.49304576749831,0.747496243255341,Inf,5.11062299149198,8.0407544222109
"2014010-010",2,12,4.42846486355769,0.617321473166516,Inf,3.30117994862123,5.72103565720039
"W1406-001",2,12,3.79990465112012,0.57183552463543,Inf,2.76177055710724,5.00332462383926
"W1411-017",2,12,4.41114174207714,0.616112881278409,Inf,3.28622562371339,5.70134373914715
"W1425-006",2,12,9.41794889740025,0.900249620751698,Inf,7.73613500298421,11.2650486705225
"2014001-005",1,13,7.26128341417565,0.790481073874868,Inf,5.79461191827335,8.89324078878393
"2014005-019",1,13,3.59490723064503,0.556196979536926,Inf,2.58742412179582,4.76767621820049
"2014005-024",1,13,5.18642013473798,0.668064861534609,Inf,3.95968000614654,6.57844614203568
"2014006-046",1,13,3.73472834896911,0.566910226641472,Inf,2.70624766163751,4.92849491500696
"2014007-001",1,13,4.56032302023351,0.626444477921606,Inf,3.41515734454629,5.87077457462698
"2014008-016",1,13,4.9237283326865,0.650926306763418,Inf,3.73057915419365,6.28216338988559
"2014009-010",1,13,4.56227310284933,0.62657840351325,Inf,3.41684493782588,5.87298714657903
"2014009-012",1,13,7.21481519146054,0.787947692113617,Inf,5.75310903256952,8.84180722905781
"2014009-034",1,13,5.35018497457385,0.678530198405107,Inf,4.10293316263015,6.7627226652238
"2014009-041",1,13,5.48763405924054,0.687190827130208,Inf,4.22340772691217,6.91714627027517
"2014009-046",1,13,5.22001352098476,0.66642185535125,Inf,3.99555839347912,6.60788406347674
"2014010-010",1,13,4.75824624210775,0.639894296052411,Inf,3.58671940728554,6.09505895563621
"W1406-001",1,13,3.70714301044795,0.568568083723177,Inf,2.67651560626345,4.90526153997621
"W1411-017",1,13,4.76363414854588,0.640256479406641,Inf,3.59139744739358,6.10115672840443
"W1425-006",1,13,7.59619407265942,0.799455541756645,Inf,6.11009324327111,9.24390138143908
"2014001-005",2,13,7.53710969050453,0.805354704889178,Inf,6.0412864134949,9.19821884622024
"2014005-019",2,13,3.78974558803591,0.571070610551014,Inf,2.75311069807975,4.99166635669832
"2014005-024",2,13,5.41992926482716,0.682938492548696,Inf,4.16403735512876,6.8411070532318
"2014006-046",2,13,3.93327008874502,0.581783857655558,Inf,2.87563762030647,5.15618843588981
"2014007-001",2,13,4.77944471073259,0.641318108935693,Inf,3.60512725393842,6.11904804623301
"2014008-016",2,13,5.15131296376757,0.665799937777505,Inf,3.92901200416778,6.53889980207362
"2014009-010",2,13,4.78144108908602,0.641452034527336,Inf,3.60686114295563,6.12130691392267
"2014009-012",2,13,7.48976572196746,0.802821323127705,Inf,5.99890778196949,9.14590954067168
"2014009-034",2,13,5.58731178881064,0.693403829419193,Inf,4.31090819576,7.02900126056754
"2014009-041",2,13,5.72775470154373,0.702064458144294,Inf,4.43437658810841,7.1864186936853
"2014009-046",2,13,5.45426935873651,0.681231437959943,Inf,4.20079286452751,6.87117103160334
"2014010-010",2,13,4.9820172997932,0.654767927066497,Inf,3.78133868386405,6.34798179442861
"W1406-001",2,13,3.90495967143045,0.583560757280212,Inf,2.84495295048127,5.13246908460154
"W1411-017",2,13,4.98753040669027,0.655130110420726,Inf,3.78614192443102,6.35420476765577
"W1425-006",2,13,7.87825096859024,0.814162691436773,Inf,6.36332465551365,9.55478376105819
"2014001-005",1,14,7.76814087670426,0.823069201235028,Inf,6.23870623229929,9.4650782147089
"2014005-019",1,14,3.40825657060364,0.545166197708893,Inf,2.42349600967257,4.56050823586871
"2014005-024",1,14,5.54515187679244,0.683050815567168,Inf,4.28720011836576,6.96471011461048
"2014006-046",1,14,3.87812838630386,0.574430467119712,Inf,2.83397794247239,5.0857039968267
"2014007-001",1,14,5.00269518525421,0.656125328679135,Inf,3.79935611105172,6.37132013816294
"2014008-016",1,14,5.56631001885426,0.688172190339537,Inf,4.29922502020478,6.99681043665985
"2014009-010",1,14,4.00924048283433,0.587375510876575,Inf,2.94064857546855,5.24311826890636
"2014009-012",1,14,7.2796626455991,0.791480845682502,Inf,5.81103163296121,8.91357953694323
"2014009-034",1,14,5.37920792570904,0.680368108138653,Inf,4.12835387688075,6.79534785324358
"2014009-041",1,14,5.56786836296962,0.696798645967347,Inf,4.28591367949883,7.01731418064338
"2014009-046",1,14,5.71964134404813,0.697586095906388,Inf,4.43410542744888,7.16859267563373
"2014010-010",1,14,4.58246897439323,0.62796371335132,Inf,3.43432565197974,5.89589817551298
"W1406-001",1,14,3.91721522681679,0.580595277886802,Inf,2.86191233191776,5.13780400042207
"W1411-017",1,14,5.77006870005757,0.704652949799391,Inf,4.47161723620398,7.23380604261741
"W1425-006",1,14,8.00669602434186,0.830063758822929,Inf,6.4624438915301,9.71623403585987
"2014001-005",2,14,8.05334328388767,0.838013300525248,Inf,6.49461295842236,9.77956473361242
"2014005-019",2,14,3.59803705197706,0.560158142064183,Inf,2.58389862734807,4.77967819553341
"2014005-024",2,14,5.7865141956972,0.697757965247296,Inf,4.49973695358223,7.23489791720353
"2014006-046",2,14,4.08039697612878,0.589202578697963,Inf,3.00728885466355,5.31692052235582
"2014007-001",2,14,5.23207702739502,0.670998959693221,Inf,3.99958617208559,6.6298537614107
"2014008-016",2,14,5.80812747182595,0.702982402944832,Inf,4.5120198670654,7.26766025013999
"2014009-010",2,14,4.2148567138827,0.602249141890661,Inf,3.11711302540998,5.47788628106167
"2014009-012",2,14,7.55583452557764,0.80635447669659,Inf,6.05805173183281,9.21890319802872
"2014009-034",2,14,5.6169700732361,0.69524173915274,Inf,4.33696424330087,7.06226178187759
"2014009-041",2,14,5.80971930334655,0.711795704871696,Inf,4.49837669792826,7.28856458972591
"2014009-046",2,14,5.9647315938193,0.71239660949476,Inf,4.65017248583003,7.44271588046638
"2014010-010",2,14,4.80211583804235,0.642837344365406,Inf,3.62482073452191,6.14469682026905
"W1406-001",2,14,4.12048764975771,0.595468908900889,Inf,3.03603297375173,5.37022820446994
"W1411-017",2,14,6.01622569313911,0.719526580813476,Inf,4.68862244817857,7.5091148168059
"W1425-006",2,14,8.29620534342667,0.844937389837015,Inf,6.72280142950797,10.0348951360516
"2014001-005",1,15,7.78941284968047,0.818723287732858,Inf,6.26738763177283,9.47672394629408
"2014005-019",1,15,3.80310608361286,0.572076360599521,Inf,2.76449995978418,5.0069980861478
"2014005-024",1,15,7.05182336613685,0.778996479669972,Inf,5.60766126125334,8.66127134972661
"2014006-046",1,15,3.70743884789716,0.564835234775177,Inf,2.68302506989171,4.89713850460885
"2014007-001",1,15,4.27012564731179,0.606184893662344,Inf,3.16466802711448,5.54086914621535
"2014008-016",1,15,5.01408473942764,0.656871798945063,Inf,3.80928261038841,6.38417274717312
"2014009-010",1,15,5.21116478371497,0.669656649259458,Inf,3.98130480851179,6.6063106376244
"2014009-012",1,15,7.68235035649957,0.808487736240135,Inf,6.17945609740894,9.3486697873549
"2014009-034",1,15,6.70267572460795,0.759466962943607,Inf,5.29679076914359,8.27384655877856
"2014009-041",1,15,3.92920029284524,0.575379025192486,Inf,2.88239518232952,5.1378395160036
"2014009-046",1,15,5.49762702259749,0.687816228650672,Inf,4.23217492581313,6.92836499808809
"2014010-010",1,15,4.16959766258002,0.599006944815965,Inf,3.07820856360449,5.42627264026181
"W1406-001",1,15,3.84014013790857,0.574855007697933,Inf,2.79608796584125,5.04947818868214
"W1411-017",1,15,5.48109576033323,0.686781324773728,Inf,4.21767203787514,6.90980536149757
"W1425-006",1,15,7.30396917062703,0.792801107197858,Inf,5.83275049296888,8.94047372699144
"2014001-005",2,15,8.07500196600503,0.833596918747176,Inf,6.52382496699005,9.7914648437261
"2014005-019",2,15,4.00343366565603,0.586949991613609,Inf,2.9356757607204,5.23647744929791
"2014005-024",2,15,7.32367961886178,0.793870110684058,Inf,5.85036573287133,8.96227938355849
"2014006-046",2,15,3.90526329923085,0.579708865789264,Inf,2.85169774011845,5.12411473704949
"2014007-001",2,15,4.48224395342688,0.621058524676431,Inf,3.34763455212262,5.78213923343739
"2014008-016",2,15,5.24372462330004,0.67174542995915,Inf,4.00977071315386,6.64296441215248
"2014009-010",2,15,5.44522416701528,0.684530280273544,Inf,4.18621241070515,6.86952180203166
"2014009-012",2,15,7.96598775393184,0.823252848537929,Inf,6.43414953093617,9.66124139754487
"2014009-034",2,15,6.9677809645422,0.774340593957693,Inf,5.53274422797089,8.56810357981976
"2014009-041",2,15,4.13277951350413,0.590063551217914,Inf,3.05718421687727,5.3701908348311
"2014009-046",2,15,5.73796385528178,0.702689859664758,Inf,4.44335997739048,7.19785361187934
"2014010-010",2,15,4.37923467716334,0.613880575830051,Inf,3.25869379708085,5.66506143595207
"W1406-001",2,15,4.04142824971625,0.58972863871202,Inf,2.96822429654198,5.27991808159677
"W1411-017",2,15,5.72107484482497,0.701654955787813,Inf,4.42849934125993,7.17893622709625
"W1425-006",2,15,7.5805974419491,0.807674738211943,Inf,6.080226983184,9.24625377942045
"2014001-005",1,16,7.01312921163956,0.776856318792933,Inf,5.57316174499604,8.61838255698907
"2014005-019",1,16,3.91630390702622,0.584407835628289,Inf,2.85463695637545,5.14547357660435
"2014005-024",1,16,5.07011558638427,0.660531772230767,Inf,3.85814004152068,6.44737700995412
"2014006-046",1,16,4.8926974952619,0.648871896726351,Inf,3.70357488645119,6.24710598277887
"2014007-001",1,16,3.34055756943664,0.533133368318074,Inf,2.37734795570882,4.46719235742873
"2014008-016",1,16,5.1700785320058,0.667011546965319,Inf,3.94540286203455,6.5600400806833
"2014009-010",1,16,3.57580101171062,0.554716972114196,Inf,2.57121866410682,4.74566923802069
"2014009-012",1,16,8.04851666041388,0.832228733172324,Inf,6.50002125584985,9.76229794368415
"2014009-034",1,16,6.78930998499324,0.764359383233749,Inf,5.37383606196296,8.37006978672976
"2014009-041",1,16,4.18932381926331,0.604435207688655,Inf,3.0884039216861,5.4577463978016
"2014009-046",1,16,6.17887836234866,0.72918815474918,Inf,4.83233878044017,7.69070382296339
"2014010-010",1,16,4.33572770678099,0.61082356328382,Inf,3.2211784611894,5.61556283107882
"W1406-001",1,16,2.98131212010061,0.509895906593536,Inf,2.06568585342383,4.06444107899929
"W1411-017",1,16,5.73718821759218,0.702642364492854,Inf,4.44267742852725,7.19698488536337
"W1425-006",1,16,5.98361577950212,0.717573896310286,Inf,4.659839725841,7.47267771186949
"2014001-005",2,16,7.28424564813385,0.791729949807238,Inf,5.815126400383,8.91865077459078
"2014005-019",2,16,4.11955298251107,0.599360097347525,Inf,3.0285743301065,5.37802273924964
"2014005-024",2,16,5.30102065908912,0.675405403244853,Inf,4.05989333311859,6.70743386376592
"2014006-046",2,16,5.1195719526796,0.663745527740437,Inf,3.90129756276193,6.50313222130351
"2014007-001",2,16,3.52846942988068,0.547906688071439,Inf,2.53629976365976,4.68405451467705
"2014008-016",2,16,5.40322354964767,0.681885177979406,Inf,4.14939609856947,6.82233687943212
"2014009-010",2,16,3.77012775638824,0.569590603128283,Inf,2.73639362767748,4.96914776380524
"2014009-012",2,16,8.33877437331351,0.847102364186412,Inf,6.76112718764253,10.0817074376907
"2014009-034",2,16,7.05610644916098,0.779233014247835,Inf,5.61148074502376,8.66601803200445
"2014009-041",2,16,4.39945006586998,0.619386898776233,Inf,3.26921961887409,5.69717164706883
"2014009-046",2,16,6.43351674720035,0.744061785763266,Inf,5.05782538418491,7.97449398892203
"2014010-010",2,16,4.54944951995593,0.625697194297906,Inf,3.4057484932574,5.85843642536072
"W1406-001",2,16,3.15897475055351,0.524850825239922,Inf,2.21403159849901,4.27140902795176
"W1411-017",2,16,5.98265018645416,0.717515995506939,Inf,4.65898761628228,7.47159863533229
"W1425-006",2,16,6.23423931808937,0.732447527324372,Inf,4.88131148332131,7.75245303156368
"2014001-005",1,17,8.16992067783032,0.838481919664873,Inf,6.60916925295215,9.89595798141447
"2014005-019",1,17,3.44146165818265,0.544197133663823,Inf,2.45749781506476,4.5907113800068
"2014005-024",1,17,5.34103392757353,0.677949665288406,Inf,4.09491993963039,6.75243379422291
"2014006-046",1,17,3.99243209930816,0.586142957928697,Inf,2.92625595132926,5.22389412599331
"2014007-001",1,17,4.56819996373682,0.626985266236172,Inf,3.4219743624298,5.8797114437501
"2014008-016",1,17,5.52688770227437,0.689644222944781,Inf,4.25785280250961,6.96120848074538
"2014009-010",1,17,4.45962151289623,0.619489262448508,Inf,3.328087809041,5.75644109545771
"2014009-012",1,17,9.45074969117271,0.901815950977421,Inf,7.76586584592635,11.3009194151253
"2014009-034",1,17,5.44380501226596,0.684441072035945,Inf,4.18496810088865,6.86792780234953
"2014009-041",1,17,4.16736646582291,0.595448592364124,Inf,3.08201638109451,5.41613197245202
"2014009-046",1,17,5.88760043892287,0.716550767956387,Inf,4.56693808621185,7.37576548278992
"2014010-010",1,17,4.05218592122682,0.590513001371684,Inf,2.97744464548879,5.2922130756711
"W1406-001",1,17,4.36640920964126,0.612980980459603,Inf,3.24763150408552,5.65047279390326
"W1411-017",1,17,5.64432164968998,0.696932407270446,Inf,4.36100217113423,7.09292700695198
"W1425-006",1,17,7.96494391940898,0.827896684655272,Inf,6.42493917391766,9.67023454360655
"2014001-005",2,17,8.46234000806998,0.853355550679196,Inf,6.87243680208446,10.2175290927616
"2014005-019",2,17,3.63215187846852,0.559070764677911,Inf,2.61903625424367,4.81055338139962
"2014005-024",2,17,5.57796006165263,0.692823296302493,Inf,4.30269429260254,7.01851170940896
"2014006-046",2,17,4.19762225833269,0.601016588942784,Inf,3.10229432924684,5.45823606612478
"2014007-001",2,17,4.78750859530975,0.641858897250259,Inf,3.61213121289578,6.12817185642998
"2014008-016",2,17,5.76785644065473,0.704517853958868,Inf,4.46966975978302,7.23132900023269
"2014009-010",2,17,4.67633890689997,0.634362893462594,Inf,3.51565342193779,6.0023102705684
"2014009-012",2,17,9.76506248971795,0.916689581991509,Inf,8.05102686336464,11.6443839947775
"2014009-034",2,17,5.68297511226579,0.699314703050032,Inf,4.39498641978153,7.1362496834563
"2014009-041",2,17,4.37694807130236,0.61025602636435,Inf,3.26258082337658,5.65474048942189
"2014009-046",2,17,6.13622575526526,0.73149855532729,Inf,4.78626049517185,7.65368214154099
"2014010-010",2,17,4.25888672793366,0.605386632385771,Inf,3.15499367108869,5.52806566348489
"W1406-001",2,17,4.58087680424812,0.62785461147369,Inf,3.43294731758542,5.89409216961706
"W1411-017",2,17,5.88780978608172,0.711806038284531,Inf,4.57533852641902,7.36556692445066
"W1425-006",2,17,8.25370411880849,0.842770315669358,Inf,6.68454759221022,9.988146524113
"2014001-005",1,18,7.23713941903276,0.789165792442256,Inf,5.77304582736792,8.86651888940358
"2014005-019",1,18,4.02561131720147,0.588573497279775,Inf,2.95467139963145,5.26183711347774
"2014005-024",1,18,5.81375445115106,0.703301848674015,Inf,4.51701586463794,7.27390845196096
"2014006-046",1,18,3.92044399800612,0.580834506914189,Inf,2.86467222282936,5.14150165188914
"2014007-001",1,18,4.75610346299196,0.639750198157251,Inf,3.58485905485451,6.09263374983566
"2014008-016",1,18,6.21715207208216,0.736306373261031,Inf,4.85776366441285,7.7440316107707
"2014009-010",1,18,3.77573965377978,0.570014367998612,Inf,2.74117496118527,4.97559022508055
"2014009-012",1,18,7.85999554526717,0.822424296952586,Inf,6.33071648258255,9.55456048665804
"2014009-034",1,18,5.80050823696464,0.706509175125931,Inf,4.49841863832383,7.26788371431169
"2014009-041",1,18,6.04442266413401,0.721210755793163,Inf,4.71351849686962,7.54061271010465
"2014009-046",1,18,5.04861657366268,0.659129844920824,Inf,3.83938875583552,6.42313027019609
"2014010-010",1,18,5.50942948318926,0.688554144448096,Inf,4.24253109801833,6.94161374706644
"W1406-001",1,18,3.30472148983326,0.536821917938237,Inf,2.33631542723448,4.4406186777758
"W1411-017",1,18,4.46268522602265,0.619702017222171,Inf,3.3307345304735,5.75992180027805
"W1425-006",1,18,6.54898587460322,0.755726787076354,Inf,5.15153993077419,8.11393450041784
"2014001-005",2,18,7.51251102554572,0.804039423456565,Inf,6.01926565277354,9.17104227702398
"2014005-019",2,18,4.231641671223,0.603447128293862,Inf,3.13154997254603,5.49701924860621
"2014005-024",2,18,6.06083181292815,0.718112536349489,Inf,4.73506969458741,7.55001911077083
"2014006-046",2,18,4.12379911824296,0.595708137928276,Inf,3.03887556195925,5.37400855323293
"2014007-001",2,18,4.97982470855216,0.654623829171337,Inf,3.77942851930776,6.34550677650281
"2014008-016",2,18,6.47256994052677,0.75130481003761,Inf,5.08379091394528,8.02885165211612
"2014009-010",2,18,3.97535444099971,0.584887999012699,Inf,2.91163796729824,5.20435679340742
"2014009-012",2,18,8.14686403582954,0.837297927966675,Inf,6.58843319203797,9.87058075832736
"2014009-034",2,18,6.04730689471702,0.721382806140018,Inf,4.71606551496927,7.54383415317102
"2014009-041",2,18,6.29630340151583,0.73608438680725,Inf,4.93624745314449,7.82164522859341
"2014009-046",2,18,5.27903702458535,0.67400347593491,Inf,4.04065742565124,6.68270250222571
