"genotype","image","rep","emmean","SE","df","asymp.LCL","asymp.UCL"
"2014009-046","14","1",0.0264177921446273,0.00572966344122643,Inf,0.0151878581562876,0.0376477261329669
"2014010-010","14","1",0.0197861570871662,0.00572966344122644,Inf,0.00855622309882659,0.0310160910755059
"W1406-001","14","1",0.034934882609652,0.00572966344122645,Inf,0.0237049486213124,0.0461648165979917
"W1411-017","14","1",0.0284225639077539,0.00572966344122645,Inf,0.0171926299194142,0.0396524978960935
"W1425-006","14","1",0.030401213556937,0.00572966344122644,Inf,0.0191712795685974,0.0416311475452767
"2014001-005","15","1",0.0347627914674822,0.00572966344122644,Inf,0.0235328574791426,0.0459927254558219
"2014005-019","15","1",0.0328120157224252,0.00572966344122645,Inf,0.0215820817340856,0.0440419497107649
"2014005-024","15","1",0.0167287972057497,0.00572966344122644,Inf,0.00549886321741009,0.0279587311940894
"2014006-046","15","1",0.0275498662966508,0.00572966344122645,Inf,0.0163199323083112,0.0387798002849905
"2014007-001","15","1",0.0343147818533253,0.00572966344122644,Inf,0.0230848478649856,0.0455447158416649
"2014008-016","15","1",0.025723701599136,0.00572966344122645,Inf,0.0144937676107963,0.0369536355874756
"2014009-010","15","1",0.0202157959090539,0.00572966344122645,Inf,0.00898586192071425,0.0314457298973936
"2014009-012","15","1",0.0262845369691313,0.00572966344122644,Inf,0.0150546029807916,0.0375144709574709
"2014009-034","15","1",0.0183566614244578,0.00572966344122643,Inf,0.00712672743611821,0.0295865954127975
"2014009-041","15","1",0.0300251455457046,0.00806033247440035,Inf,0.0142271841924613,0.0458231068989479
"2014009-046","15","1",0.0287154159313117,0.00572966344122642,Inf,0.0174854819429721,0.0399453499196513
"2014010-010","15","1",0.0253617868703552,0.00572966344122644,Inf,0.0141318528820155,0.0365917208586948
"W1406-001","15","1",0.0293514207657638,0.00572966344122645,Inf,0.0181214867774242,0.0405813547541035
"W1411-017","15","1",0.0311290405608256,0.00572966344122643,Inf,0.0198991065724859,0.0423589745491652
"W1425-006","15","1",0.0413301348577912,0.00572966344122643,Inf,0.0301002008694516,0.0525600688461308
"2014001-005","16","1",0.0327844796874521,0.00572966344122645,Inf,0.0215545456991124,0.0440144136757917
"2014005-019","16","1",0.0426324714351522,0.00572966344122645,Inf,0.0314025374468125,0.0538624054234919
"2014005-024","16","1",0.0275616002853225,0.00572966344122646,Inf,0.0163316662969828,0.0387915342736622
"2014006-046","16","1",0.0218830559416759,0.00572966344122646,Inf,0.0106531219533363,0.0331129899300156
"2014007-001","16","1",0.0494552293881157,0.00572966344122645,Inf,0.0382252953997761,0.0606851633764554
"2014008-016","16","1",0.0295284457928515,0.00572966344122645,Inf,0.0182985118045118,0.0407583797811912
"2014009-010","16","1",0.0294984461697031,0.00572966344122645,Inf,0.0182685121813634,0.0407283801580428
"2014009-012","16","1",0.0252433459928025,0.00572966344122644,Inf,0.0140134120044629,0.0364732799811422
"2014009-034","16","1",0.0192327820330053,0.00572966344122644,Inf,0.00800284804466566,0.030462716021345
"2014009-041","16","1",0.0402601026279368,0.00806033247440036,Inf,0.0244621412746935,0.0560580639811801
"2014009-046","16","1",0.0247181175470978,0.00572966344122644,Inf,0.0134881835587581,0.0359480515354374
"2014010-010","16","1",0.0249239903102068,0.00572966344122644,Inf,0.0136940563218672,0.0361539242985465
"W1406-001","16","1",0.0321299769175514,0.00572966344122644,Inf,0.0209000429292118,0.0433599109058911
"W1411-017","16","1",0.0205474524555628,0.00572966344122645,Inf,0.00931751846722316,0.0317773864439025
"W1425-006","16","1",0.0429839239607786,0.00572966344122643,Inf,0.0317539899724389,0.0542138579491182
"2014001-005","17","1",0.0414107646027828,0.00572966344122644,Inf,0.0301808306144431,0.0526406985911224
"2014005-019","17","1",0.033313176205604,0.00572966344122645,Inf,0.0220832422172644,0.0445431101939437
"2014005-024","17","1",0.0295910243868783,0.00572966344122645,Inf,0.0183610903985387,0.040820958375218
"2014006-046","17","1",0.0353826112927688,0.00572966344122645,Inf,0.0241526773044292,0.0466125452811085
"2014007-001","17","1",0.0340906940695123,0.00572966344122644,Inf,0.0228607600811726,0.0453206280578519
"2014008-016","17","1",0.0291714565752806,0.00572966344122645,Inf,0.017941522586941,0.0404013905636203
"2014009-010","17","1",0.0208943854355834,0.00572966344122644,Inf,0.00966445144724376,0.0321243194239231
"2014009-012","17","1",0.0222817240092974,0.00572966344122644,Inf,0.0110517900209577,0.033511657997637
"2014009-034","17","1",0.024404418596449,0.00572966344122644,Inf,0.0131744846081094,0.0356343525847886
"2014009-041","17","1",0.0292593707525466,0.00806033247440035,Inf,0.0134614093993032,0.0450573321057899
"2014009-046","17","1",0.0238508634640046,0.00572966344122643,Inf,0.012620929475665,0.0350807974523442
"2014010-010","17","1",0.0294923709316412,0.00572966344122644,Inf,0.0182624369433016,0.0407223049199808
"W1406-001","17","1",0.0311245296630103,0.00572966344122644,Inf,0.0198945956746706,0.04235446365135
"W1411-017","17","1",0.0281999085792344,0.00572966344122643,Inf,0.0169699745908947,0.039429842567574
"W1425-006","17","1",0.0301300904629489,0.00572966344122644,Inf,0.0189001564746093,0.0413600244512885
"2014001-005","18","1",0.0442466876352851,0.00572966344122646,Inf,0.0330167536469454,0.0554766216236247
"2014005-019","18","1",0.0274531378201193,0.00572966344122645,Inf,0.0162232038317796,0.038683071808459
"2014005-024","18","1",0.0226028904583925,0.00572966344122645,Inf,0.0113729564700528,0.0338328244467322
"2014006-046","18","1",0.0239075209192214,0.00572966344122645,Inf,0.0126775869308818,0.0351374549075611
"2014007-001","18","1",0.035740574404614,0.00572966344122644,Inf,0.0245106404162743,0.0469705083929536
"2014008-016","18","1",0.0269420512509626,0.00572966344122645,Inf,0.0157121172626229,0.0381719852393022
"2014009-010","18","1",0.0290340026190064,0.00572966344122645,Inf,0.0178040686306667,0.040263936607346
"2014009-012","18","1",0.0243858546699147,0.00572966344122644,Inf,0.013155920681575,0.0356157886582543
"2014009-034","18","1",0.0207176335907882,0.00572966344122644,Inf,0.00948769960244853,0.0319475675791278
"2014009-041","18","1",0.0191846644337311,0.00806033247440036,Inf,0.00338670308048774,0.0349826257869744
"2014009-046","18","1",0.0306082782576897,0.00572966344122643,Inf,0.0193783442693501,0.0418382122460294
"2014010-010","18","1",0.0231107737567599,0.00572966344122644,Inf,0.0118808397684202,0.0343407077450995
"W1406-001","18","1",0.0466321136670534,0.00572966344122645,Inf,0.0354021796787138,0.0578620476553931
"W1411-017","18","1",0.0360319664439242,0.00572966344122644,Inf,0.0248020324555845,0.0472619004322639
"W1425-006","18","1",0.0321780423696557,0.00572966344122644,Inf,0.020948108381316,0.0434079763579953
"2014001-005","19","1",0.0408953944655859,0.00572966344122645,Inf,0.0296654604772462,0.0521253284539255
"2014005-019","19","1",0.0276714956000121,0.00572966344122645,Inf,0.0164415616116725,0.0389014295883518
"2014005-024","19","1",0.0278662740014024,0.00572966344122645,Inf,0.0166363400130627,0.0390962079897421
"2014006-046","19","1",0.0328764411696393,0.00572966344122646,Inf,0.0216465071812996,0.044106375157979
"2014007-001","19","1",0.0317636042440823,0.00572966344122644,Inf,0.0205336702557427,0.042993538232422
"2014008-016","19","1",0.0318440515928604,0.00572966344122645,Inf,0.0206141176045207,0.0430739855812001
"2014009-010","19","1",0.0179970106208173,0.00572966344122645,Inf,0.00676707663247768,0.029226944609157
"2014009-012","19","1",0.0269968053380683,0.00572966344122645,Inf,0.0157668713497286,0.0382267393264079
"2014009-034","19","1",0.021539876727096,0.00572966344122644,Inf,0.0103099427387563,0.0327698107154356
"2014009-041","19","1",0.0306860300550622,0.00806033247440036,Inf,0.0148880687018189,0.0464839914083056
"2014009-046","19","1",0.0331174652039467,0.00572966344122644,Inf,0.021887531215607,0.0443473991922863
"2014010-010","19","1",0.039719971081506,0.00572966344122644,Inf,0.0284900370931664,0.0509499050698456
"W1406-001","19","1",0.0280836038648683,0.00572966344122645,Inf,0.0168536698765287,0.039313537853208
"W1411-017","19","1",0.0352014160257602,0.00572966344122645,Inf,0.0239714820374205,0.0464313500140998
"W1425-006","19","1",0.0320492772922468,0.00572966344122644,Inf,0.0208193433039072,0.0432792112805865
"2014001-005","2","1",0.0332442737371742,0.00572966344122645,Inf,0.0220143397488345,0.0444742077255139
"2014005-019","2","1",0.0301212968012751,0.00572966344122645,Inf,0.0188913628129355,0.0413512307896148
"2014005-024","2","1",0.0223539267157586,0.00572966344122645,Inf,0.011123992727419,0.0335838607040983
"2014006-046","2","1",0.0388928106221062,0.00572966344122645,Inf,0.0276628766337665,0.0501227446104459
"2014007-001","2","1",0.0395137055432543,0.00572966344122644,Inf,0.0282837715549147,0.050743639531594
"2014008-016","2","1",0.022928757503348,0.00572966344122645,Inf,0.0116988235150083,0.0341586914916877
"2014009-010","2","1",0.0221868762028487,0.00572966344122645,Inf,0.010956942214509,0.0334168101911884
"2014009-012","2","1",0.0298977185588293,0.00572966344122644,Inf,0.0186677845704896,0.0411276525471689
"2014009-034","2","1",0.0246014486753645,0.00572966344122644,Inf,0.0133715146870248,0.0358313826637041
"2014009-041","2","1",0.0276119968487294,0.00806033247440036,Inf,0.0118140354954861,0.0434099582019727
"2014009-046","2","1",0.026729328173977,0.00572966344122643,Inf,0.0154993941856374,0.0379592621623166
"2014010-010","2","1",0.0226035771127883,0.00572966344122645,Inf,0.0113736431244486,0.033833511101128
"W1406-001","2","1",0.0283261942415361,0.00572966344122645,Inf,0.0170962602531964,0.0395561282298757
"W1411-017","2","1",0.0243879801254595,0.00572966344122644,Inf,0.0131580461371199,0.0356179141137992
"W1425-006","2","1",0.0366472261198639,0.00572966344122644,Inf,0.0254172921315242,0.0478771601082035
"2014001-005","20","1",0.0335242876625955,0.00572966344122644,Inf,0.0222943536742558,0.0447542216509351
"2014005-019","20","1",0.0262148125492747,0.00572966344122645,Inf,0.0149848785609351,0.0374447465376144
"2014005-024","20","1",0.024150803473897,0.00572966344122645,Inf,0.0129208694855574,0.0353807374622367
"2014006-046","20","1",0.0299360300642565,0.00572966344122645,Inf,0.0187060960759168,0.0411659640525961
"2014007-001","20","1",0.0339605482153179,0.00572966344122644,Inf,0.0227306142269783,0.0451904822036576
"2014008-016","20","1",0.0253001396858902,0.00572966344122645,Inf,0.0140702056975506,0.0365300736742299
"2014009-010","20","1",0.0218330536971919,0.00572966344122645,Inf,0.0106031197088522,0.0330629876855315
"2014009-012","20","1",0.02774934964097,0.00572966344122644,Inf,0.0165194156526304,0.0389792836293097
"2014009-034","20","1",0.0236788641621703,0.00572966344122644,Inf,0.0124489301738307,0.03490879815051
"2014009-041","20","1",0.0311716211235766,0.00806033247440035,Inf,0.0153736597703333,0.0469695824768199
"2014009-046","20","1",0.0302147077464899,0.00572966344122643,Inf,0.0189847737581502,0.0414446417348295
"2014010-010","20","1",0.0330164268458069,0.00572966344122644,Inf,0.0217864928574673,0.0442463608341465
"W1406-001","20","1",0.0190705527395928,0.00572966344122645,Inf,0.0078406187512531,0.0303004867279324
"W1411-017","20","1",0.023806397535857,0.00572966344122644,Inf,0.0125764635475174,0.0350363315241967
"W1425-006","20","1",0.0218511954815044,0.00572966344122644,Inf,0.0106212614931648,0.0330811294698441
"2014001-005","21","1",0.0370144017334283,0.00572966344122644,Inf,0.0257844677450887,0.048244335721768
"2014005-019","21","1",0.0240088267404041,0.00572966344122644,Inf,0.0127788927520645,0.0352387607287438
"2014005-024","21","1",0.0231828949746051,0.00572966344122644,Inf,0.0119529609862654,0.0344128289629447
"2014006-046","21","1",0.0283035553559203,0.00572966344122644,Inf,0.0170736213675807,0.03953348934426
"2014007-001","21","1",0.0401851004590961,0.00572966344122644,Inf,0.0289551664707564,0.0514150344474357
"2014008-016","21","1",0.0289550053407239,0.00572966344122645,Inf,0.0177250713523843,0.0401849393290636
"2014009-010","21","1",0.0182894353319516,0.00572966344122644,Inf,0.00705950134361193,0.0295193693202912
"2014009-012","21","1",0.02588497893463,0.00572966344122644,Inf,0.0146550449462903,0.0371149129229696
"2014009-034","21","1",0.0189315373197942,0.00572966344122644,Inf,0.0077016033314546,0.0301614713081339
"2014009-041","21","1",0.0280623158309206,0.00806033247440035,Inf,0.0122643544776773,0.0438602771841639
"2014009-046","21","1",0.0360335040003925,0.00572966344122643,Inf,0.0248035700120529,0.0472634379887321
"2014010-010","21","1",0.0266242353166062,0.00572966344122644,Inf,0.0153943013282666,0.0378541693049459
"W1406-001","21","1",0.0247002179762621,0.00572966344122645,Inf,0.0134702839879225,0.0359301519646018
"W1411-017","21","1",0.0296542763279031,0.00572966344122644,Inf,0.0184243423395635,0.0408842103162428
"W1425-006","21","1",0.0280256907730996,0.00572966344122644,Inf,0.01679575678476,0.0392556247614393
"2014001-005","22","1",0.034091851943021,0.00572966344122644,Inf,0.0228619179546814,0.0453217859313607
"2014005-019","22","1",0.0315748990589587,0.00572966344122645,Inf,0.020344965070619,0.0428048330472984
"2014005-024","22","1",0.0317655440958436,0.00572966344122645,Inf,0.0205356101075039,0.0429954780841833
"2014006-046","22","1",0.023762861729784,0.00572966344122645,Inf,0.0125329277414443,0.0349927957181237
"2014007-001","22","1",0.0338411174289938,0.00572966344122644,Inf,0.0226111834406541,0.0450710514173334
"2014008-016","22","1",0.0250465116424533,0.00572966344122645,Inf,0.0138165776541136,0.0362764456307929
"2014009-010","22","1",0.0262453397684184,0.00572966344122645,Inf,0.0150154057800788,0.0374752737567581
"2014009-012","22","1",0.0242118571436424,0.00572966344122644,Inf,0.0129819231553027,0.035441791131982
"2014009-034","22","1",0.0253157143865547,0.00572966344122644,Inf,0.014085780398215,0.0365456483748943
"2014009-041","22","1",0.0230867571263421,0.00806033247440036,Inf,0.00728879577309875,0.0388847184795854
"2014009-046","22","1",0.0232114227820134,0.00572966344122643,Inf,0.0119814887936737,0.034441356770353
"2014010-010","22","1",0.0249240997699924,0.00572966344122644,Inf,0.0136941657816528,0.0361540337583321
"W1406-001","22","1",0.0320795302777018,0.00572966344122645,Inf,0.0208495962893621,0.0433094642660415
"W1411-017","22","1",0.0300575337825654,0.00572966344122644,Inf,0.0188275997942258,0.041287467770905
"W1425-006","22","1",0.0462616552809263,0.00572966344122644,Inf,0.0350317212925867,0.057491589269266
"2014001-005","23","1",0.0484860092575658,0.00572966344122645,Inf,0.0372560752692261,0.0597159432459055
"2014005-019","23","1",0.0397176726955489,0.00572966344122645,Inf,0.0284877387072093,0.0509476066838886
"2014005-024","23","1",0.0245075048800697,0.00572966344122645,Inf,0.01327757089173,0.0357374388684093
"2014006-046","23","1",0.0336403673194907,0.00572966344122645,Inf,0.022410433331151,0.0448703013078304
"2014007-001","23","1",0.0286338633074532,0.00572966344122644,Inf,0.0174039293191136,0.0398637972957928
"2014008-016","23","1",0.0284690711243416,0.00572966344122645,Inf,0.017239137136002,0.0396990051126813
"2014009-010","23","1",0.021302217780872,0.00572966344122644,Inf,0.0100722837925324,0.0325321517692117
"2014009-012","23","1",0.0273481363119534,0.00572966344122644,Inf,0.0161182023236138,0.0385780703002931
"2014009-034","23","1",0.0233147539720759,0.00572966344122644,Inf,0.0120848199837362,0.0345446879604155
"2014009-041","23","1",0.0231869105552793,0.00806033247440035,Inf,0.00738894920203604,0.0389848719085227
"2014009-046","23","1",0.0353927414142827,0.00572966344122643,Inf,0.0241628074259431,0.0466226754026224
"2014010-010","23","1",0.0225658857407851,0.00572966344122644,Inf,0.0113359517524455,0.0337958197291248
"W1406-001","23","1",0.0172534272586102,0.00572966344122644,Inf,0.00602349327027055,0.0284833612469499
"W1411-017","23","1",0.0274901542521584,0.00572966344122644,Inf,0.0162602202638187,0.038720088240498
"W1425-006","23","1",0.0335557624034854,0.00572966344122643,Inf,0.0223258284151457,0.044785696391825
"2014001-005","24","1",0.0419273198650809,0.00572966344122645,Inf,0.0306973858767413,0.0531572538534206
"2014005-019","24","1",0.0319861140691344,0.00572966344122645,Inf,0.0207561800807947,0.0432160480574741
"2014005-024","24","1",0.0224536455100097,0.00572966344122645,Inf,0.0112237115216701,0.0336835794983494
"2014006-046","24","1",0.0316668218063594,0.00572966344122646,Inf,0.0204368878180197,0.0428967557946991
"2014007-001","24","1",0.0331082889738074,0.00572966344122645,Inf,0.0218783549854678,0.0443382229621471
"2014008-016","24","1",0.0250708847358854,0.00572966344122645,Inf,0.0138409507475458,0.0363008187242251
"2014009-010","24","1",0.0251422917807615,0.00572966344122645,Inf,0.0139123577924218,0.0363722257691012
"2014009-012","24","1",0.0293880755795373,0.00572966344122644,Inf,0.0181581415911977,0.040618009567877
"2014009-034","24","1",0.0172080050232558,0.00572966344122644,Inf,0.00597807103491613,0.0284379390115954
"2014009-041","24","1",0.0208048984202289,0.00806033247440036,Inf,0.00500693706698558,0.0366028597734722
"2014009-046","24","1",0.0220195127071028,0.00572966344122643,Inf,0.0107895787187631,0.0332494466954424
"2014010-010","24","1",0.0315360264473178,0.00572966344122644,Inf,0.0203060924589782,0.0427659604356575
"W1406-001","24","1",0.0460929778920088,0.00572966344122645,Inf,0.0348630439036691,0.0573229118803484
"W1411-017","24","1",0.0303075156270134,0.00572966344122644,Inf,0.0190775816386737,0.041537449615353
"W1425-006","24","1",0.0230310610403845,0.00572966344122644,Inf,0.0118011270520448,0.0342609950287241
"2014001-005","25","1",0.0312898633870456,0.00572966344122646,Inf,0.0200599293987059,0.0425197973753853
"2014005-019","25","1",0.0399807886775577,0.00572966344122645,Inf,0.028750854689218,0.0512107226658974
"2014005-024","25","1",0.0267249629590837,0.00572966344122645,Inf,0.015495028970744,0.0379548969474233
"2014006-046","25","1",0.0328938215277761,0.00572966344122646,Inf,0.0216638875394364,0.0441237555161158
"2014007-001","25","1",0.0451570190490205,0.00572966344122644,Inf,0.0339270850606808,0.0563869530373601
"2014008-016","25","1",0.0299111776006737,0.00572966344122645,Inf,0.018681243612334,0.0411411115890133
"2014009-010","25","1",0.019288645056699,0.00572966344122645,Inf,0.00805871106835931,0.0305185790450386
"2014009-012","25","1",0.0259330883754533,0.00572966344122644,Inf,0.0147031543871136,0.0371630223637929
"2014009-034","25","1",0.0214904642785399,0.00572966344122645,Inf,0.0102605302902002,0.0327203982668795
"2014009-041","25","1",0.0229336617976366,0.00806033247440036,Inf,0.00713570044439329,0.0387316231508799
"2014009-046","25","1",0.0197069189891569,0.00572966344122644,Inf,0.00847698500081724,0.0309368529774965
"2014010-010","25","1",0.031049587519732,0.00572966344122644,Inf,0.0198196535313923,0.0422795215080716
"W1406-001","25","1",0.0204796141345973,0.00572966344122644,Inf,0.00924968014625768,0.031709548122937
"W1411-017","25","1",0.0278970664710695,0.00572966344122644,Inf,0.0166671324827298,0.0391270004594091
"W1425-006","25","1",0.0262832598173694,0.00572966344122643,Inf,0.0150533258290298,0.037513193805709
"2014001-005","26","1",0.0394683519641223,0.00572966344122645,Inf,0.0282384179757826,0.050698285952462
"2014005-019","26","1",0.0314562313018565,0.00572966344122645,Inf,0.0202262973135169,0.0426861652901962
"2014005-024","26","1",0.0259015438167385,0.00572966344122645,Inf,0.0146716098283988,0.0371314778050782
"2014006-046","26","1",0.0373865455944401,0.00572966344122645,Inf,0.0261566116061004,0.0486164795827798
